emotion,base_mean,sft_s0_delta,ci_lo,ci_hi,bh_fdr_sig,sft_s1_delta,flat_instr_delta,neutral_sys_delta
scornful,-0.0407,0.0385,0.0360,0.0409,1,0.0402,0.0311,0.0035
horrified,-0.0573,0.0383,0.0365,0.0399,1,0.0392,0.0816,-0.0007
dumbstruck,0.0019,0.0380,0.0358,0.0402,1,0.0434,0.0670,-0.0028
disgusted,-0.0487,0.0377,0.0362,0.0392,1,0.0390,0.0388,0.0015
on edge,-0.0773,0.0374,0.0351,0.0400,1,0.0330,0.0263,-0.0001
bored,-0.0458,0.0371,0.0349,0.0392,1,0.0367,0.0613,0.0022
weary,0.0575,0.0359,0.0338,0.0382,1,0.0394,0.0132,0.0012
worn out,-0.0177,0.0344,0.0321,0.0366,1,0.0263,0.0150,0.0027
stuck,-0.0003,0.0315,0.0293,0.0337,1,0.0348,0.0309,-0.0031
greedy,0.0037,0.0315,0.0299,0.0330,1,0.0358,0.0355,0.0008
empathetic,0.0187,0.0307,0.0286,0.0330,1,0.0268,0.0122,-0.0003
vibrant,0.0085,0.0294,0.0277,0.0312,1,0.0293,-0.0326,-0.0012
infatuated,-0.0433,0.0281,0.0260,0.0302,1,0.0248,-0.0160,0.0028
perplexed,-0.0270,0.0280,0.0262,0.0297,1,0.0371,0.0755,0.0014
dependent,0.0396,0.0270,0.0246,0.0295,1,0.0283,0.0222,-0.0002
disoriented,0.0014,0.0268,0.0251,0.0284,1,0.0277,0.0366,0.0017
patient,-0.0531,0.0251,0.0235,0.0268,1,0.0266,0.0519,-0.0000
tense,-0.0142,0.0236,0.0220,0.0253,1,0.0263,0.0784,0.0009
sullen,-0.0298,0.0234,0.0211,0.0256,1,0.0187,0.0017,0.0028
content,-0.2688,0.0232,0.0207,0.0257,1,0.0196,0.0286,0.0045
resigned,0.0154,0.0220,0.0198,0.0243,1,0.0210,0.0569,0.0009
listless,-0.0251,0.0216,0.0201,0.0232,1,0.0167,0.0026,0.0033
annoyed,-0.0390,0.0211,0.0186,0.0234,1,0.0178,0.0231,0.0012
nervous,-0.0656,0.0208,0.0184,0.0233,1,0.0189,0.0009,-0.0009
smug,-0.0353,0.0206,0.0185,0.0227,1,0.0265,0.0312,0.0000
